iter	Logloss
0	0.5935172779
1	0.5135126368
2	0.4498277608
3	0.4014188098
4	0.3687058068
5	0.3351804554
6	0.3128546433
7	0.2969430488
8	0.2812587263
9	0.2705905223
10	0.2599887576
11	0.2515409064
12	0.2459126544
13	0.236559389
14	0.2319936719
15	0.2278563063
16	0.2233622421
17	0.2179787672
18	0.2154109247
19	0.2118706081
20	0.2087751517
21	0.2061800124
22	0.203959552
23	0.2019837294
24	0.1996742311
25	0.1988763595
26	0.1978088414
27	0.1965905922
28	0.1952475932
29	0.1943361199
30	0.193193271
31	0.1915794952
32	0.1901039918
33	0.1894520737
34	0.1887092395
35	0.1876499272
36	0.186588853
37	0.186030363
38	0.1855175794
39	0.1847368608
40	0.183681663
41	0.1830249518
42	0.1826257368
43	0.1822376795
44	0.1821763242
45	0.181397284
46	0.1812129533
47	0.1808951235
48	0.1806122773
49	0.179698931
50	0.179022964
51	0.1782853048
52	0.1775777247
53	0.1770989035
54	0.1767191779
55	0.1765943358
56	0.176522036
57	0.1760496758
58	0.1758847478
59	0.1758000223
60	0.1757326642
61	0.1756386788
62	0.1753999169
63	0.1748314259
64	0.1742195886
65	0.1741527282
66	0.174109062
67	0.1739924421
68	0.1739071021
69	0.1738050323
70	0.1736563951
71	0.1732287435
72	0.1728427669
73	0.1727650743
74	0.1727058321
75	0.1726072226
76	0.1719481766
77	0.1718553689
78	0.1718014689
79	0.1717380763
80	0.1716486442
81	0.1715786982
82	0.1715173582
83	0.1714069366
84	0.171240532
85	0.1706773275
86	0.1702915018
87	0.1701793674
88	0.170103232
89	0.1700025444
90	0.1699184603
91	0.1698409887
92	0.169770101
93	0.1696816319
94	0.1693189784
95	0.1692268893
96	0.1691466216
97	0.1686447263
98	0.1685653097
99	0.1684792443
