iter	Passed	Remaining
0	35	3527
1	56	2748
2	76	2459
3	94	2270
4	113	2161
5	134	2105
6	154	2055
7	174	2008
8	195	1980
9	218	1967
10	241	1950
11	264	1936
12	289	1940
13	310	1905
14	332	1882
15	355	1865
16	374	1826
17	396	1804
18	417	1781
19	437	1749
20	462	1738
21	482	1709
22	501	1677
23	521	1650
24	539	1618
25	561	1598
26	581	1572
27	600	1544
28	619	1517
29	639	1492
30	658	1466
31	679	1444
32	699	1419
33	719	1396
34	738	1370
35	757	1346
36	777	1324
37	797	1301
38	818	1280
39	837	1256
40	857	1233
41	876	1210
42	896	1188
43	917	1167
44	936	1144
45	959	1126
46	983	1109
47	1004	1087
48	1027	1069
49	1047	1047
50	1069	1027
51	1094	1010
52	1117	990
53	1137	969
54	1158	948
55	1181	928
56	1205	909
57	1226	888
58	1250	868
59	1272	848
60	1295	828
61	1317	807
62	1340	787
63	1361	765
64	1383	744
65	1405	724
66	1428	703
67	1454	684
68	1479	664
69	1504	644
70	1527	623
71	1549	602
72	1572	581
73	1596	561
74	1621	540
75	1643	519
76	1668	498
77	1688	476
78	1711	455
79	1736	434
80	1757	412
81	1781	391
82	1803	369
83	1825	347
84	1846	325
85	1870	304
86	1893	282
87	1923	262
88	1947	240
89	1970	218
90	1991	196
91	2013	175
92	2034	153
93	2054	131
94	2072	109
95	2092	87
96	2113	65
97	2132	43
98	2153	21
99	2173	0
